State,Year,Quarter,District,No_of_Regusers,No_of_AppOpen
uttar-pradesh,2019,4,pratapgarh district,182182,2655080
uttar-pradesh,2019,4,saharanpur district,290730,4961771
uttar-pradesh,2019,4,bara banki district,142882,2306594
uttar-pradesh,2019,4,bareilly district,398897,6261447
uttar-pradesh,2019,4,sitapur district,194588,2277928
uttar-pradesh,2019,4,sultanpur district,155081,2485807
uttar-pradesh,2019,4,agra district,593453,9403661
uttar-pradesh,2019,4,fatehpur district,107650,1432832
uttar-pradesh,2019,4,rae bareli district,134591,1958605
uttar-pradesh,2019,4,firozabad district,188556,2565909
uttar-pradesh,2019,4,kheri district,209667,2680169
uttar-pradesh,2019,4,gorakhpur district,483523,8086315
uttar-pradesh,2019,4,unnao district,143079,2076900
uttar-pradesh,2019,4,prayagraj district,738307,14253524
uttar-pradesh,2019,4,sonbhadra district,146957,2701941
uttar-pradesh,2019,4,ghazipur district,265215,4090265
uttar-pradesh,2019,4,farrukhabad district,111564,1622553
uttar-pradesh,2019,4,kannauj district,96093,1256010
uttar-pradesh,2019,4,azamgarh district,293685,4025457
uttar-pradesh,2019,4,ayodhya district,193592,3061016
uttar-pradesh,2019,4,deoria district,252687,4382125
uttar-pradesh,2019,4,ghaziabad district,1189357,26697427
uttar-pradesh,2020,1,amethi district,136952,2245853
uttar-pradesh,2020,1,siddharthnagar district,132802,2569918
uttar-pradesh,2020,1,auraiya district,106853,1866472
uttar-pradesh,2020,1,sambhal district,107252,1601899
uttar-pradesh,2020,1,kanpur nagar district,788847,13496514
uttar-pradesh,2020,1,aligarh district,389467,6865074
uttar-pradesh,2020,1,mahoba district,54536,816864
uttar-pradesh,2020,1,lucknow district,1329098,25199798
uttar-pradesh,2020,1,sant kabeer nagar district,106578,1940909
uttar-pradesh,2020,1,hathras district,127615,2209807
uttar-pradesh,2020,1,budaun district,141211,2166711
uttar-pradesh,2020,1,moradabad district,257312,4170631
uttar-pradesh,2020,1,kushinagar district,294988,5937399
uttar-pradesh,2020,1,baghpat district,138206,2557446
uttar-pradesh,2020,1,shahjahanpur district,171075,2516626
uttar-pradesh,2020,1,muzaffarnagar district,253057,4155457
uttar-pradesh,2020,1,ambedkar nagar district,173558,2877264
uttar-pradesh,2020,1,bahraich district,118691,1816527
uttar-pradesh,2020,1,jalaun district,130530,2040618
uttar-pradesh,2020,1,rampur district,133897,2146614
uttar-pradesh,2020,1,ballia district,279850,4843958
uttar-pradesh,2020,1,shravasti district,29560,473164
uttar-pradesh,2020,1,kasganj district,85463,1362177
uttar-pradesh,2020,1,varanasi district,777234,13178057
uttar-pradesh,2020,1,gautam buddha nagar district,1656331,51730780
uttar-pradesh,2020,1,basti district,182992,3369249
uttar-pradesh,2020,1,shamli district,105856,1850600
uttar-pradesh,2020,1,maharajganj district,189603,3159725
uttar-pradesh,2020,1,etawah district,139252,2328900
uttar-pradesh,2020,1,etah district,116306,1901928
uttar-pradesh,2020,1,banda district,85004,1280634
uttar-pradesh,2020,1,bijnor district,245713,3838793
uttar-pradesh,2020,1,hardoi district,166833,2473365
uttar-pradesh,2020,1,balrampur district,79242,1322478
uttar-pradesh,2020,1,amroha district,132719,2256887
uttar-pradesh,2020,1,pilibhit district,131381,1965708
uttar-pradesh,2020,1,mainpuri district,135739,2075154
uttar-pradesh,2020,1,kanpur dehat district,99757,1818141
uttar-pradesh,2020,1,jaunpur district,376245,6203627
uttar-pradesh,2020,1,kaushambi district,67498,1094664
uttar-pradesh,2020,1,hapur district,166710,3278620
uttar-pradesh,2020,1,hamirpur district,72081,1126805
uttar-pradesh,2020,1,meerut district,509693,9094997
uttar-pradesh,2020,1,mathura district,352252,6604782
uttar-pradesh,2020,1,chitrakoot district,49532,784796
uttar-pradesh,2020,1,lalitpur district,85820,1459863
uttar-pradesh,2020,1,mau district,168403,2477419
uttar-pradesh,2020,1,mirzapur district,184275,2887354
uttar-pradesh,2020,1,bulandshahr district,300819,5867028
uttar-pradesh,2020,1,gonda district,170132,3042875
uttar-pradesh,2020,1,jhansi district,279897,5368682
uttar-pradesh,2020,1,chandauli district,173797,2860413
uttar-pradesh,2020,1,bhadohi district,131750,2035659
uttar-pradesh,2020,1,pratapgarh district,208100,3235514
uttar-pradesh,2020,1,saharanpur district,332027,6277349
uttar-pradesh,2020,1,bara banki district,163878,2756219
uttar-pradesh,2020,1,bareilly district,452872,7537061
uttar-pradesh,2020,1,sitapur district,223690,2708933
uttar-pradesh,2020,1,sultanpur district,175425,2899397
uttar-pradesh,2020,1,agra district,668251,11430582
uttar-pradesh,2020,1,fatehpur district,123288,1785866
uttar-pradesh,2020,1,rae bareli district,151785,2282305
uttar-pradesh,2020,1,firozabad district,221119,3395140
uttar-pradesh,2020,1,kheri district,242677,3212975
uttar-pradesh,2020,1,gorakhpur district,539316,9223906
uttar-pradesh,2020,1,unnao district,163038,2496442
uttar-pradesh,2020,1,prayagraj district,816436,15702170
uttar-pradesh,2020,1,sonbhadra district,163017,3124763
uttar-pradesh,2020,1,ghazipur district,299524,4965935
uttar-pradesh,2020,1,farrukhabad district,127474,2023828
uttar-pradesh,2020,1,kannauj district,110383,1588330
uttar-pradesh,2020,1,azamgarh district,334030,5125163
uttar-pradesh,2020,1,ayodhya district,217835,3602820
uttar-pradesh,2020,1,deoria district,285363,5151940
uttar-pradesh,2020,1,ghaziabad district,1296464,29139762
uttar-pradesh,2020,2,amethi district,157381,2923171
uttar-pradesh,2020,2,siddharthnagar district,155865,3796176
uttar-pradesh,2020,2,auraiya district,122400,2546860
uttar-pradesh,2020,2,sambhal district,125328,2192282
uttar-pradesh,2020,2,kanpur nagar district,864991,11964030
uttar-pradesh,2020,2,aligarh district,440101,8302818
uttar-pradesh,2020,2,mahoba district,62821,1066418
uttar-pradesh,2020,2,lucknow district,1434386,17924865
uttar-pradesh,2020,2,sant kabeer nagar district,122481,2602491
uttar-pradesh,2020,2,hathras district,146288,2964233
uttar-pradesh,2020,2,budaun district,166532,3080767
uttar-pradesh,2020,2,moradabad district,295194,4669000
uttar-pradesh,2020,2,kushinagar district,331722,7224934
uttar-pradesh,2020,2,baghpat district,155849,3189090
uttar-pradesh,2020,2,shahjahanpur district,196359,3194920
uttar-pradesh,2020,2,muzaffarnagar district,287462,4970982
uttar-pradesh,2020,2,ambedkar nagar district,198579,3702829
uttar-pradesh,2020,2,bahraich district,138923,2362835
uttar-pradesh,2020,2,jalaun district,147970,2604204
uttar-pradesh,2020,2,rampur district,155359,2792854
uttar-pradesh,2020,2,ballia district,314673,5982025
uttar-pradesh,2020,2,shravasti district,34854,630619
uttar-pradesh,2020,2,kasganj district,99981,2070383
uttar-pradesh,2020,2,varanasi district,851213,10800706
uttar-pradesh,2020,2,gautam buddha nagar district,1756163,31755091
uttar-pradesh,2020,2,basti district,209591,4472498
uttar-pradesh,2020,2,shamli district,120773,2320536
uttar-pradesh,2020,2,maharajganj district,213692,3985207
uttar-pradesh,2020,2,etawah district,159083,2874933
uttar-pradesh,2020,2,etah district,136054,2820615
uttar-pradesh,2020,2,banda district,97787,1534567
uttar-pradesh,2020,2,bijnor district,281914,5230309
uttar-pradesh,2020,2,hardoi district,196544,3605329
uttar-pradesh,2020,2,balrampur district,92076,1792620
uttar-pradesh,2020,2,amroha district,152529,2815705
uttar-pradesh,2020,2,pilibhit district,150146,2442563
uttar-pradesh,2020,2,mainpuri district,157546,3160394
uttar-pradesh,2020,2,kanpur dehat district,116906,2413348
uttar-pradesh,2020,2,jaunpur district,423581,8019612
uttar-pradesh,2020,2,kaushambi district,79177,1412360
uttar-pradesh,2020,2,hapur district,187076,3658801
uttar-pradesh,2020,2,hamirpur district,82461,1534887
uttar-pradesh,2020,2,meerut district,566838,9319137
uttar-pradesh,2020,2,mathura district,401021,7179114
uttar-pradesh,2020,2,chitrakoot district,57001,984695
uttar-pradesh,2020,2,lalitpur district,96852,1665097
uttar-pradesh,2020,2,mau district,191234,3117295
uttar-pradesh,2020,2,mirzapur district,207293,3482196
uttar-pradesh,2020,2,bulandshahr district,341588,7688731
uttar-pradesh,2020,2,gonda district,193655,3767752
uttar-pradesh,2020,2,jhansi district,309640,5331182
uttar-pradesh,2020,2,chandauli district,196636,3319917
uttar-pradesh,2020,2,bhadohi district,148612,2670538
uttar-pradesh,2020,2,pratapgarh district,238168,4546598
uttar-pradesh,2020,2,saharanpur district,377311,7048443
uttar-pradesh,2020,2,bara banki district,186789,3043091
uttar-pradesh,2020,2,bareilly district,507342,7984378
uttar-pradesh,2020,2,sitapur district,251510,3279034
uttar-pradesh,2020,2,sultanpur district,198267,3580001
uttar-pradesh,2020,2,agra district,746336,11458559
uttar-pradesh,2020,2,fatehpur district,143578,2384005
uttar-pradesh,2020,2,rae bareli district,172513,2795924
uttar-pradesh,2020,2,firozabad district,255512,4270279
uttar-pradesh,2020,2,kheri district,271159,3508993
uttar-pradesh,2020,2,gorakhpur district,600961,9529572
uttar-pradesh,2020,2,unnao district,187748,3121463
uttar-pradesh,2020,2,prayagraj district,892787,11979603
uttar-pradesh,2020,2,sonbhadra district,181105,3490008
uttar-pradesh,2020,2,ghazipur district,337515,6167979
uttar-pradesh,2020,2,farrukhabad district,147186,2878633
uttar-pradesh,2020,2,kannauj district,126696,2292499
uttar-pradesh,2020,2,azamgarh district,379884,6610600
uttar-pradesh,2020,2,ayodhya district,245136,3986581
uttar-pradesh,2020,2,deoria district,321321,6346598
uttar-pradesh,2020,2,ghaziabad district,1399514,25466172
uttar-pradesh,2020,3,amethi district,175672,3135028
uttar-pradesh,2020,3,siddharthnagar district,176555,4410888
uttar-pradesh,2020,3,auraiya district,136156,2459782
uttar-pradesh,2020,3,sambhal district,141580,2157953
uttar-pradesh,2020,3,kanpur nagar district,941379,14730136
uttar-pradesh,2020,3,aligarh district,489555,8765586
uttar-pradesh,2020,3,mahoba district,71317,1211722
uttar-pradesh,2020,3,lucknow district,1551932,25954376
uttar-pradesh,2020,3,sant kabeer nagar district,136932,2975927
uttar-pradesh,2020,3,hathras district,164058,2922172
uttar-pradesh,2020,3,budaun district,188814,2861757
uttar-pradesh,2020,3,moradabad district,329322,5210373
uttar-pradesh,2020,3,kushinagar district,366656,8179739
uttar-pradesh,2020,3,baghpat district,173593,3523714
uttar-pradesh,2020,3,shahjahanpur district,219668,3118202
uttar-pradesh,2020,3,muzaffarnagar district,320098,5388746
uttar-pradesh,2020,3,ambedkar nagar district,219649,3805579
uttar-pradesh,2020,3,bahraich district,158041,2477910
uttar-pradesh,2020,3,jalaun district,164885,2835173
uttar-pradesh,2020,3,rampur district,174194,2681970
uttar-pradesh,2020,3,ballia district,347325,6824186
uttar-pradesh,2020,3,shravasti district,40056,686485
uttar-pradesh,2020,3,kasganj district,111622,1782260
uttar-pradesh,2020,3,varanasi district,927313,13603279
uttar-pradesh,2020,3,gautam buddha nagar district,1885370,47735179
uttar-pradesh,2020,3,basti district,232300,5028229
uttar-pradesh,2020,3,shamli district,134703,2422480
uttar-pradesh,2020,3,maharajganj district,236496,4478038
uttar-pradesh,2020,3,etawah district,178286,3083574
uttar-pradesh,2020,3,etah district,152537,2565815
uttar-pradesh,2020,3,banda district,109260,1621264
uttar-pradesh,2020,3,bijnor district,315548,5301772
uttar-pradesh,2020,3,hardoi district,224504,3254196
uttar-pradesh,2020,3,balrampur district,104746,2091334
uttar-pradesh,2020,3,amroha district,171549,3029210
uttar-pradesh,2020,3,pilibhit district,167139,2371333
uttar-pradesh,2020,3,mainpuri district,176651,2844338
uttar-pradesh,2020,3,kanpur dehat district,131597,2432061
uttar-pradesh,2020,3,jaunpur district,470090,9596375
uttar-pradesh,2020,3,kaushambi district,89293,1463592
uttar-pradesh,2020,3,hapur district,207549,4271913
uttar-pradesh,2020,3,hamirpur district,92148,1593325
uttar-pradesh,2020,3,meerut district,624570,11216890
uttar-pradesh,2020,3,mathura district,450042,8334713
uttar-pradesh,2020,3,chitrakoot district,63813,1107947
uttar-pradesh,2020,3,lalitpur district,109905,1984885
uttar-pradesh,2020,3,mau district,211980,3522195
uttar-pradesh,2020,3,mirzapur district,229009,3873254
uttar-pradesh,2020,3,bulandshahr district,382144,7705483
uttar-pradesh,2020,3,gonda district,216590,4297700
uttar-pradesh,2020,3,jhansi district,340517,6542964
uttar-pradesh,2020,3,chandauli district,218583,3801210
uttar-pradesh,2020,3,bhadohi district,165497,3136062
uttar-pradesh,2020,3,pratapgarh district,265530,5036714
uttar-pradesh,2020,3,saharanpur district,419510,7614353
uttar-pradesh,2020,3,bara banki district,208489,3294064
uttar-pradesh,2020,3,bareilly district,558821,8528332
uttar-pradesh,2020,3,sitapur district,281113,3262320
uttar-pradesh,2020,3,sultanpur district,218977,3965223
uttar-pradesh,2020,3,agra district,822893,13709198
uttar-pradesh,2020,3,fatehpur district,161230,2433963
uttar-pradesh,2020,3,rae bareli district,190989,3062998
uttar-pradesh,2020,3,firozabad district,291115,4535491
uttar-pradesh,2020,3,kheri district,309435,3878339
uttar-pradesh,2020,3,gorakhpur district,661272,12200156
uttar-pradesh,2020,3,unnao district,210513,3242170
uttar-pradesh,2020,3,prayagraj district,974228,15657722
uttar-pradesh,2020,3,sonbhadra district,198688,4177900
uttar-pradesh,2020,3,ghazipur district,373352,6975372
uttar-pradesh,2020,3,farrukhabad district,165207,2675642
uttar-pradesh,2020,3,kannauj district,141507,2084687
uttar-pradesh,2020,3,azamgarh district,421262,7386152
uttar-pradesh,2020,3,ayodhya district,271190,4519954
uttar-pradesh,2020,3,deoria district,355557,7457098
uttar-pradesh,2020,3,ghaziabad district,1518450,32676386
uttar-pradesh,2020,4,amethi district,193465,3533542
uttar-pradesh,2020,4,siddharthnagar district,196286,4632822
uttar-pradesh,2020,4,auraiya district,149979,2911491
uttar-pradesh,2020,4,sambhal district,158974,2641035
uttar-pradesh,2020,4,kanpur nagar district,1022768,18929689
uttar-pradesh,2020,4,aligarh district,541762,10792014
uttar-pradesh,2020,4,mahoba district,79027,1335011
uttar-pradesh,2020,4,lucknow district,1684510,35210954
uttar-pradesh,2020,4,sant kabeer nagar district,151391,3271655
uttar-pradesh,2020,4,hathras district,181527,3495694
uttar-pradesh,2020,4,budaun district,210856,3306391
uttar-pradesh,2020,4,moradabad district,366253,6381613
uttar-pradesh,2020,4,kushinagar district,403037,9574230
uttar-pradesh,2020,4,baghpat district,191550,4294924
uttar-pradesh,2020,4,shahjahanpur district,243863,3648346
uttar-pradesh,2020,4,muzaffarnagar district,356175,6791215
uttar-pradesh,2020,4,ambedkar nagar district,239981,4170665
uttar-pradesh,2020,4,bahraich district,177840,2864530
uttar-pradesh,2020,4,jalaun district,180793,3330029
uttar-pradesh,2020,4,rampur district,193633,3151278
uttar-pradesh,2020,4,ballia district,381096,8196092
uttar-pradesh,2020,4,shravasti district,45237,753772
uttar-pradesh,2020,4,kasganj district,123544,2036634
uttar-pradesh,2020,4,varanasi district,1003989,17224553
uttar-pradesh,2020,4,gautam buddha nagar district,2030178,63536100
uttar-pradesh,2020,4,basti district,254542,5480133
uttar-pradesh,2020,4,shamli district,149991,2918405
uttar-pradesh,2020,4,maharajganj district,258192,5021689
uttar-pradesh,2020,4,etawah district,197027,3702188
uttar-pradesh,2020,4,etah district,168855,2945969
uttar-pradesh,2020,4,banda district,120914,1876737
uttar-pradesh,2020,4,bijnor district,351089,6245042
uttar-pradesh,2020,4,hardoi district,250349,3793848
uttar-pradesh,2020,4,balrampur district,117269,2330780
uttar-pradesh,2020,4,amroha district,191119,3731099
uttar-pradesh,2020,4,pilibhit district,183285,2616499
uttar-pradesh,2020,4,mainpuri district,195376,3314028
uttar-pradesh,2020,4,kanpur dehat district,146458,2964642
uttar-pradesh,2020,4,jaunpur district,516171,10512253
uttar-pradesh,2020,4,kaushambi district,99316,1654679
uttar-pradesh,2020,4,hapur district,229889,5410399
uttar-pradesh,2020,4,hamirpur district,101258,1763800
uttar-pradesh,2020,4,meerut district,686266,14049785
uttar-pradesh,2020,4,mathura district,498292,10441850
uttar-pradesh,2020,4,chitrakoot district,70900,1303176
uttar-pradesh,2020,4,lalitpur district,121961,2363109
uttar-pradesh,2020,4,mau district,233339,4123315
uttar-pradesh,2020,4,mirzapur district,250009,4345276
uttar-pradesh,2020,4,bulandshahr district,424578,9366205
uttar-pradesh,2020,4,gonda district,241011,4980669
uttar-pradesh,2020,4,jhansi district,372783,8318039
uttar-pradesh,2020,4,chandauli district,239906,4429904
uttar-pradesh,2020,4,bhadohi district,181635,3404779
uttar-pradesh,2020,4,pratapgarh district,292533,5618286
uttar-pradesh,2020,4,saharanpur district,465256,9485293
